business_name,maps_position,address,phone,website,website_status,facebook,instagram,linkedin,other_socials,email,email_found_on,opportunity_score,opportunity,opportunity_reasons
New Roof,8,"6421 Providence Farm Ln Ste 6114, Charlotte, NC 28277, USA",(704) 999-6034,https://www.newroofclt.com/,broken,,,,,,,90,HIGH,broken website
Kaiser Siding and Roofing LLC,11,"2923 S Tryon St Ste 230, Charlotte, NC 28203, USA",(704) 612-2947,https://kaiserroof.com/charlotte-nc/?utm_source=Google+Business+Profile&utm_medium=Charlotte&utm_campaign=GBP,broken,,,,,,,90,HIGH,broken website
Guy Roofing Inc.,19,"298 Church St N, Concord, NC 28025, USA",(704) 867-4922,https://guyroofing.com/locations/charlotte-nc,broken,,,,,,,90,HIGH,broken website
