business_name,maps_position,address,phone,website,website_status,facebook,instagram,linkedin,other_socials,email,email_found_on,opportunity_score,opportunity,opportunity_reasons
Plumbing Pals,1,"2424 E York St Ste 100-B, Philadelphia, PA 19125, USA",(267) 719-2354,https://www.economydrainclean.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile-philadelphia,working,https://www.facebook.com/plumbingpals,https://www.instagram.com/plumbing_palss/,,https://www.youtube.com/channel/UCXoUleMfOZgFqNcrG9bVUEg; https://x.com/PlumbingPals,,,0,LOW,no major issues detected
Goodman Plumbing,2,"8015 Castor Ave, Philadelphia, PA 19152, USA",(215) 364-7775,https://www.goodmanplumbers.com/,working,https://www.facebook.com/GoodmanPlumbingPA/,,,https://x.com/Goodman_Plumbng,,,0,LOW,no major issues detected
